ticker,etf
ANET,USETHOS
DOC,USETHOS
SWK,USETHOS
IRM,USETHOS
DD,USETHOS
GPC,USETHOS
AZO,USETHOS
JBL,USETHOS
EQR,USETHOS
MLM,USETHOS
PSA,USETHOS
BALL,USETHOS
KIM,USETHOS
CAG,USETHOS
INVH,USETHOS
IR,USETHOS
PHM,USETHOS
APA,USETHOS
PAYX,USETHOS
COHR,USETHOS
SNDK,USETHOS
XYL,USETHOS
ORLY,USETHOS
KLAC,USETHOS
STLD,USETHOS
VMC,USETHOS
CDW,USETHOS
WY,USETHOS
MKC,USETHOS
AME,USETHOS
SJM,USETHOS
TKO,USETHOS
NWS,USETHOS
NWSA,USETHOS
CPB,USETHOS
ALB,USETHOS
WDC,USETHOS
CF,USETHOS
TROW,USETHOS
MCHP,USETHOS
HSY,USETHOS
DLTR,USETHOS
CVNA,USETHOS
DOV,USETHOS
FSLR,USETHOS
HRL,USETHOS
HST,USETHOS
EA,USETHOS
ESS,USETHOS
HWM,USETHOS
REG,USETHOS
ON,USETHOS
MAA,USETHOS
EFX,USETHOS
J,USETHOS
SBAC,USETHOS
TSCO,USETHOS
AKAM,USETHOS
FTV,USETHOS
BLDR,USETHOS
ROK,USETHOS
CBOE,USETHOS
GRMN,USETHOS
MNST,USETHOS
PKG,USETHOS
UDR,USETHOS
CTAS,USETHOS
PLTR,USETHOS
CSGP,USETHOS
FTNT,USETHOS
CPRT,USETHOS
EME,USETHOS
GWW,USETHOS
TTWO,USETHOS
FRT,USETHOS
CPT,USETHOS
TRMB,USETHOS
AVY,USETHOS
BR,USETHOS
CASY,USETHOS
SNA,USETHOS
HUBB,USETHOS
JBHT,USETHOS
SWKS,USETHOS
BF.B,USETHOS
APP,USETHOS
VLTO,USETHOS
PNR,USETHOS
AXON,USETHOS
DDOG,USETHOS
FIX,USETHOS
IEX,USETHOS
CLX,USETHOS
CIEN,USETHOS
NDSN,USETHOS
TTD,USETHOS
ODFL,USETHOS
GNRC,USETHOS
NVR,USETHOS
MSCI,USETHOS
ALLE,USETHOS
CHRW,USETHOS
MAS,USETHOS
FAST,USETHOS
TYL,USETHOS
EXPD,USETHOS
EPAM,USETHOS
VRSK,USETHOS
MPWR,USETHOS
TER,USETHOS
LII,USETHOS
FDS,USETHOS
POOL,USETHOS
DECK,USETHOS
AOS,USETHOS
ERIE,USETHOS
ROL,USETHOS
JKHY,USETHOS
FICO,USETHOS
TPL,USETHOS
CRBG,USETHOS
EQH,USETHOS
BHF,USETHOS
ALLY,USETHOS
VOYA,USETHOS
RGA,USETHOS
NLY,USETHOS
PNFP,USETHOS
FNF,USETHOS
WAL,USETHOS
ZION,USETHOS
FLG,USETHOS
WBS,USETHOS
FHN,USETHOS
EWBC,USETHOS
JEF,USETHOS
ONB,USETHOS
UMBF,USETHOS
WTFC,USETHOS
SSB,USETHOS
COLB,USETHOS
VLY,USETHOS
UNM,USETHOS
STWD,USETHOS
RNR,USETHOS
CFR,USETHOS
FNB,USETHOS
ASB,USETHOS
PB,USETHOS
SF,USETHOS
CNH,USETHOS
CNO,USETHOS
ARW,USETHOS
CBSH,USETHOS
HWC,USETHOS
UBSI,USETHOS
TCBI,USETHOS
AFG,USETHOS
GBCI,USETHOS
CAR,USETHOS
CG,USETHOS
ORI,USETHOS
SLM,USETHOS
ACI,USETHOS
LAD,USETHOS
HOMB,USETHOS
OVV,USETHOS
FLEX,USETHOS
ALK,USETHOS
CLF,USETHOS
WTRG,USETHOS
WLK,USETHOS
SCI,USETHOS
PFGC,USETHOS
PAG,USETHOS
WPC,USETHOS
DINO,USETHOS
NXST,USETHOS
PR,USETHOS
GATX,USETHOS
FAF,USETHOS
JLL,USETHOS
WCC,USETHOS
IBOC,USETHOS
AA,USETHOS
THG,USETHOS
R,USETHOS
UGI,USETHOS
VNO,USETHOS
WEX,USETHOS
FFIN,USETHOS
AR,USETHOS
SIGI,USETHOS
PBF,USETHOS
PRI,USETHOS
SR,USETHOS
AN,USETHOS
TOL,USETHOS
OGE,USETHOS
CCK,USETHOS
USFD,USETHOS
RRX,USETHOS
GLPI,USETHOS
BWA,USETHOS
CHRD,USETHOS
POR,USETHOS
AMH,USETHOS
OC,USETHOS
POST,USETHOS
KD,USETHOS
REXR,USETHOS
RBA,USETHOS
GXO,USETHOS
MTDR,USETHOS
TXNM,USETHOS
VNOM,USETHOS
TRU,USETHOS
AGCO,USETHOS
ACM,USETHOS
KNX,USETHOS
GPK,USETHOS
CACI,USETHOS
SGI,USETHOS
NOV,USETHOS
ITT,USETHOS
SON,USETHOS
RYAN,USETHOS
TLN,USETHOS
BKH,USETHOS
RS,USETHOS
KRC,USETHOS
CNXC,USETHOS
DAR,USETHOS
WMG,USETHOS
MTZ,USETHOS
SWX,USETHOS
OHI,USETHOS
COTY,USETHOS
IDA,USETHOS
PPC,USETHOS
TEX,USETHOS
ADC,USETHOS
DTM,USETHOS
FTI,USETHOS
MUR,USETHOS
OSK,USETHOS
TMHC,USETHOS
GTLS,USETHOS
CMC,USETHOS
RGLD,USETHOS
AMG,USETHOS
NNN,USETHOS
SLGN,USETHOS
HR,USETHOS
CNX,USETHOS
NFG,USETHOS
BRX,USETHOS
CUZ,USETHOS
APG,USETHOS
OGS,USETHOS
FOUR,USETHOS
MKSI,USETHOS
NWE,USETHOS
ENTG,USETHOS
AMKR,USETHOS
XPO,USETHOS
NJR,USETHOS
BJ,USETHOS
INGR,USETHOS
FLR,USETHOS
RPM,USETHOS
JHG,USETHOS
RYN,USETHOS
PK,USETHOS
ESNT,USETHOS
AXTA,USETHOS
CLH,USETHOS
RRC,USETHOS
OLN,USETHOS
BCO,USETHOS
STAG,USETHOS
BAH,USETHOS
NVT,USETHOS
LAMR,USETHOS
TKR,USETHOS
ST,USETHOS
ORA,USETHOS
BLD,USETHOS
SARO,USETHOS
KBR,USETHOS
CUBE,USETHOS
FBIN,USETHOS
MTG,USETHOS
AM,USETHOS
RLI,USETHOS
KRG,USETHOS
EEFT,USETHOS
CNM,USETHOS
KNSL,USETHOS
DY,USETHOS
KEX,USETHOS
IRT,USETHOS
PSN,USETHOS
CSL,USETHOS
AVNT,USETHOS
FR,USETHOS
ELS,USETHOS
SOLS,USETHOS
FLS,USETHOS
EPR,USETHOS
ESAB,USETHOS
G,USETHOS
AHR,USETHOS
GEF,USETHOS
SBRA,USETHOS
FND,USETHOS
EGP,USETHOS
PCTY,USETHOS
MIDD,USETHOS
VAL,USETHOS
FCFS,USETHOS
SAIC,USETHOS
CTRE,USETHOS
ATI,USETHOS
CELH,USETHOS
RBC,USETHOS
ATR,USETHOS
WFRD,USETHOS
FIVE,USETHOS
NSA,USETHOS
WWD,USETHOS
MOG.A,USETHOS
MUSA,USETHOS
PSTG,USETHOS
WSO,USETHOS
PINS,USETHOS
AYI,USETHOS
